ID,Leaf.1.adjusted,Leaf.2.adjusted,Leaf.3.adjusted,neg_recip_L1_adj,neg_recip_L2_adj,neg_recip_L3_adj,Internode_1_day_21,Internode_2_day_21,Internode_3_day_21,Height_mm_day_21,Number_leaves_day_21,Day_germ,Ever_flowered,more_than_one_flower_per_day,flowers_per_day_greater_than_one,more_than_one_flower_on_cyme,flowers_per_cyme_greater_than_one,TwoOrMore,ThreeOrMore,Color_numeric,Cyme_length,flowers_per_day,Flowers_buds_on_cymepeduncle,Cor_Length,Cor_tissue_Length,Cor_Width,L_over_W,LV_over_L,Style_Length,Anther_stigma_position,Nectar.volume.uL,LnNectaruLPlusOne,n_flowers,Pollen_per_flower,avg.number,avg.size,Sterility
F2_492,12,14,16,-0.0833333333333333,-0.0714285714285714,-0.0625,13,14,94,759,6,143.666666666667,1,0,NA,1,1.16666666666667,1,1,1,25.2833333333333,1,1.16666666666667,29.7333333333333,35.6,25.4666666666667,1.16861586150176,1.19933495826946,17.8333333333333,0,0.739321471144798,0.553495078060426,6,47.5,323,69.36067771,0
F2_493,11,14,15,-0.0909090909090909,-0.0714285714285714,-0.0666666666666667,12,21,87,930,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_494,12,14,15,-0.0833333333333333,-0.0714285714285714,-0.0666666666666667,9,9,52,749,10,167.666666666667,1,0,NA,0,NA,1,1,1,24.3,1,1,27.8333333333333,31.6333333333333,22.8333333333333,1.22591128678085,1.13683776817217,18.4333333333333,0.833333333333333,0.138230076757951,0.129474491682205,3,NA,NA,NA,0
F2_495,12,14,16,-0.0833333333333333,-0.0714285714285714,-0.0625,11,12,71,730,6,289,1,1,1.66666666666667,0,NA,1,1,1,11.8333333333333,1.66666666666667,1,23.2,27.0333333333333,18.9333333333333,1.22836747361887,1.1656065693952,13.2,-0.166666666666667,0,0,3,NA,NA,NA,0
F2_496,11,13,15,-0.0909090909090909,-0.0769230769230769,-0.0666666666666667,10,12,63,734,9,284,1,0,NA,0,NA,0,0,0,15.4,1,1,25.4,28.8,21.7,1.1705069124424,1.13385826771654,15.8,0,0,0,1,NA,NA,NA,0
F2_497,13,13,16,-0.0769230769230769,-0.0769230769230769,-0.0625,10,67,96,602,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_498,13,13,15,-0.0769230769230769,-0.0769230769230769,-0.0666666666666667,3,2,1,259,7,272,1,0,NA,1,2,0,0,1,13.2,1,2,25.2,28.1,15.5,1.6258064516129,1.11507936507937,13.6,0,0,0,1,NA,NA,NA,0
F2_499,12,13,14,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,14,18,77,423,10,212.333333333333,1,0,NA,0,NA,1,1,0,30.2666666666667,1,1,28.1,32.1666666666667,24.8,1.13502588640808,1.14447356262092,16.7,0,0.418879020478639,0.349867137657241,3,NA,NA,NA,0
F2_500,11,14,16,-0.0909090909090909,-0.0714285714285714,-0.0625,12,22,116,762,6,155.8,1,1,1.6,1,1.2,1,1,1,16.4,1.6,1.2,28.3,30.96,18.28,1.56658927997056,1.09548837803393,17.06,0,0.263893782901543,0.234197259679134,5,NA,NA,NA,0
F2_501,11,13,15,-0.0909090909090909,-0.0769230769230769,-0.0666666666666667,12,14,78,672,11,298,1,0,NA,1,2,0,0,0,16.7,1,2,26.8,30.6,21.7,1.23502304147465,1.14179104477612,14.5,0,0.125663706143592,0.118372822714325,1,NA,NA,NA,0
F2_502,11,13,15,-0.0909090909090909,-0.0769230769230769,-0.0666666666666667,14,29,76,839,12,126.4,1,1,1.2,0,NA,1,1,1,17.6,1.2,1,25.58,31.25,21.56,1.19056496066569,1.20308812482134,15.12,0,0.0779114978090269,0.0750253706091423,5,NA,NA,NA,0
F2_503,12,15,16,-0.0833333333333333,-0.0666666666666667,-0.0625,10,31,54,637,8,206.75,1,1,1.25,0,NA,1,1,1,18.5,1.25,1,27.525,32.075,21.125,1.31256071786028,1.16608661691991,16.075,0.125,0.351858377202057,0.301480221543852,4,NA,NA,NA,0
F2_504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2_505,15,16,18,-0.0666666666666667,-0.0625,-0.0555555555555556,9,8,61,382,4,171.75,1,0,NA,1,1.75,1,1,1,28.3333333333333,1,1.75,28.525,31.9,19.7,1.46265153675223,1.12042260432062,17.15,0.25,0.091106186954104,0.087192032045118,4,NA,NA,NA,0
F2_506,14,18,20,-0.0714285714285714,-0.0555555555555556,-0.05,6,4,14,52,2,113.6,1,1,1.4,1,1.2,1,1,1,29.16,1.4,1.2,28.76,34.38,25.9,1.11194258586629,1.19626382029244,19.06,0.3,0.198548655706875,0.181111371237116,5,62.5,423,71.68780518,0
F2_507,15,15,16,-0.0666666666666667,-0.0666666666666667,-0.0625,11,4,14,286,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_508,15,16,18,-0.0666666666666667,-0.0625,-0.0555555555555556,12,6,28,246,3,311,1,0,NA,0,NA,0,0,1,14.8,1,1,25,29.9,21.9,1.14155251141553,1.196,16.4,0,0.879645943005142,0.631083430917123,1,NA,NA,NA,0
